label,gold_count,M2b_las,M3_las,las_gain,M2b_uas,M3_uas,uas_gain
acl:relcl,70,61.43,81.43,20.0,68.57,87.14,18.57
acl,107,60.75,80.37,19.62,67.29,81.31,14.02
conj,319,62.07,81.5,19.43,67.08,84.33,17.25
advcl,109,55.96,74.31,18.35,66.06,81.65,15.59
fixed,105,64.76,81.9,17.14,66.67,81.9,15.23
appos,112,55.36,69.64,14.28,66.96,78.57,11.61
expl:pv,29,58.62,72.41,13.79,100.0,100.0,0.0
nsubj,519,82.27,93.83,11.56,91.14,96.72,5.58
parataxis,37,24.32,35.14,10.82,43.24,67.57,24.33
obl:mod,348,60.63,69.83,9.2,79.89,84.48,4.59
ccomp,55,67.27,76.36,9.09,83.64,89.09,5.45
xcomp,115,80.87,89.57,8.7,86.96,96.52,9.56
root,416,86.3,94.23,7.93,86.3,94.23,7.93
nsubj:pass,65,84.62,92.31,7.69,95.38,95.38,0.0
punct,1186,80.44,87.1,6.66,80.44,87.1,6.66
expl:subj,46,78.26,84.78,6.52,95.65,97.83,2.18
obj,344,83.14,89.53,6.39,92.73,97.09,4.36
obl:arg,187,72.73,78.61,5.88,83.42,91.44,8.02
nmod,856,81.19,86.21,5.02,84.46,89.37,4.91
advmod,462,85.71,89.83,4.12,87.88,90.48,2.6
amod,485,94.02,97.53,3.51,94.02,97.73,3.71
aux:pass,62,95.16,98.39,3.23,100.0,100.0,0.0
cc,256,91.8,94.53,2.73,92.19,94.53,2.34
aux:tense,132,96.21,98.48,2.27,98.48,99.24,0.76
nummod,110,96.36,98.18,1.82,96.36,98.18,1.82
mark,244,93.44,94.67,1.23,93.44,95.49,2.05
case,1309,98.17,99.01,0.84,98.47,99.08,0.61
cop,153,92.81,93.46,0.65,94.12,95.42,1.3
det,1459,99.38,99.52,0.14,99.66,99.52,-0.14
obl:agent,33,81.82,81.82,0.0,96.97,96.97,0.0
flat:name,122,90.98,90.16,-0.82,94.26,95.9,1.64
iobj,32,84.38,81.25,-3.13,100.0,100.0,0.0
